root_id	root_form	root_meaning_en	tla_root_form	tla_root_id	tla_root_meaning_en	tla_root_meaning_de
705	qꜣj		qꜣi̯	872399		[hoch sein]
706	qꜣb		qꜣb	873908		[winden]
707	qꜣd		qꜣd	875657		[kriechen]
708	qꜣḥ		qꜣḥ	873902		[schlämmen]
709	qꜣḥ		qꜣḥ	873899		[binden]
710	qꜣhd					
711	qꜣr		qꜣr	871733		[Riegel]
712	qrt		qrt	878063		[Stein]
713	qꜣꜥ		qꜣꜥ	873911		[ausspeien]
714	qꜥḥ		qꜥḥ	875651		[beugen]
715	qꜥḥ		qꜥḥ	875651		[beugen]
716	jr		jr	865799		[bezüglich]
717	rd		rd	872564		[Fuß]
718	rd		rd	872558		[wachsen]
719	rwḏ		rwḏ	871013		[fest sein]
720	rd		rd	872558		[wachsen]
721	rg					
722	nhj		nhi̯	871469		[entgehen; ermangeln; verschonen]
723	rḫt		rḫt	871241		[waschen]
724	rḫ		rḫ	871217		[Volk]
725	rḫt		rḫt	871241		[waschen]
726	rḫt		rḫ	871214		[wissen]
727	rhb		rhb	871280		[Glut]
728	rhd					
729	rkḥ		rkḥ	871556		[erhitzen]
730	rm		rm	871178		[Fisch]
731	rmj		rmi̯	871004		[weinen]
732	rmnj		rmni̯	871184		[tragen]
733	rmnj		rmni̯	871184		[tragen]
734	rmṯ		rmṯ	871196		[Mensch]
735	rn		rn	871268		[Name]
736	rnn		rnn	871127		[aufziehen]
737	rnpj		rnpi̯	871166		[jung sein]
738	rqj		rqi̯	866954		[aufhören; entfernen; abwehren]
739	rr		rr	871007		[sich wälzen]
740	rs		rs	872534		[wachen]
741	rs		rs	872537		[Süden]
742	rs		rs	872534		[wachen]
743	rs		rs	872534		[wachen]
744	ršw		ršu̯	872546		[sich freuen]
745	ry		rwi̯	871103		[sich entfernen]
746	rwj		rwi̯	871103		[sich entfernen]
747	rwḏ		rwḏ	871013		[fest sein]
748	rwḏ		rwḏ	871013		[fest sein]
749	rwhꜣ		rwhꜣ	871145		[Abend]
750	rwš					
751	rʾ		rʾ	870986		[Mund]
752	rʾ		rʾ	870989		[Gans]
753	rꜥw		rꜥw	871115		[Sonne]
754	'=s					
755	z		z	874598		[Mann]
756	s		s	870614		[Sitz]
757	šw		š	874889		[See]
758	sb					
759	sb		sb	876284		[schneiden]
760	sb					
761	šbj		šbi̯	875147		[mischen]
762	šbb		šbb	875168		[Röhre]
763	sbg		sbg	876308		[Merkur]
764	sbḥ		sbḥ	876296		[schreien]
765	sbḥ		sbḥ	876296		[schreien]
766	sbḫ		sbḫ	876299		[umschließen]
767	zbn		zbn	874691		[gleiten]
768	wbn		wbn	867296		[aufgehen]
769	snb		snb	875870		[gesund sein]
770	šbn		šbn	874037		[mischen]
771	šbn		šbn	874037		[mischen]
772	sbtj		sbtj	876311		[Mauer]
773	zbṯ		zbṯ	873932		[lachen]
774	sbꜣ		sbꜣ	876239		[Stern]
775	sbꜣ		sbꜣ	876239		[Stern]
776	sbꜣ		sbꜣ	876239		[Stern]
777	sḏ		sḏ	876185		[zerbrechen]
778	sḏ		sḏ	876185		[zerbrechen]
779	šdj		sšd	875564		[umbinden]
780	šdj		šdi̯	866021		[nehmen; herausnehmen; entfernen; (Gaben) darbringen; graben; aushöhlen; retten; (etwas) lesen; rezitieren; säugen; aufziehen]
781	šdj		šdi̯	866021		[nehmen; herausnehmen; entfernen; (Gaben) darbringen; graben; aushöhlen; retten; (etwas) lesen; rezitieren; säugen; aufziehen]
782	šḏ		šḏ	875639		[Teig]
783	sdm		sdm	870566		[schminken]
784	sḏm		sḏm	876761		[hören]
785	sḏr		sḏr	870569		[schlafen]
786	sf		sf	876344		[gestern]
787	zf		zf	874715		[abschneiden]
788	šfj		šfi̯	875243		[respektieren]
789	šfw		šfu̯	866009		[anschwellen; geschwollen sein]
790	šfd		šfd	875261		[fassen]
791	sfḫ		sfḫ	876359		[sieben]
792	fḫ		fḫ	867002		[lösen; zerstören]
793	sfḫ					
794	šgnn		šgnn	875600		[streiten]
795	šhb		šhb	875129		[heißer Wind]
796	šḥq					
797	šmšm					
798	ẖmm		ẖmm	873320		[heiß werden]
799	šmj		šmi̯	865985		[gehen]
800	šmj		šmi̯	865985		[gehen]
801	šmꜣ		šmꜣ	875273		[wandern]
802	šmꜥ		šmꜥ	875267		[schmal sein]
803	znj		zni̯	865940		[abtrennen]
804	snṯj		sn	875849		[sich gesellen]
