entry_id	tla_id
0	58550
0	58570
0	58600
0	54070
0	55100
0	58120
1	450143
1	58060
1	58070
2	56680
3	57130
4	859161
5	56890
5	56910
6	54200
6	54210
6	54530
7	54680
7	54690
7	54700
7	54710
8	54650
9	54600
9	54605
9	54610
9	54620
9	54640
9	54660
10	54400
10	54440
10	54470
10	54480
11	57820
11	57840
11	57850
11	57860
12	400993
12	55540
12	55570
12	55930
12	55940
12	55950
12	55960
12	55980
12	55990
12	56000
12	56040
12	56050
12	56060
12	56070
12	850457
12	131850
13	55510
13	d1733
13	d1662
13	d1759
13	d1701
13	dm2309
13	dm7730
13	d1728
13	dm6057
13	d1765
13	d1767
13	55620
13	55650
13	500131
13	850461
13	856233
13	55720
13	55730
13	55740
13	55750
13	55770
13	55780
13	855029
13	55800
13	851819
13	500647
13	500134
13	501072
13	55860
13	55830
13	55840
13	55850
13	55880
13	860410
13	850952
13	55890
13	55910
13	56380
13	56430
13	56450
13	600537
13	856575
13	860418
13	55640
13	55660
13	55550
13	867725
13	56180
13	55590
13	867722
13	55630
13	500800
13	82770
13	131810
13	131820
13	103690
13	d3794
13	d3793
13	dm7656
13	d3796
13	dm1127
13	873152
13	857658
14	55620
14	55650
15	55720
15	55730
15	55740
15	55750
15	55760
15	55770
15	55780
15	55800
16	55910
17	55920
18	57670
19	56380
20	56270
20	56280
20	56290
21	56430
21	56440
22	600644
23	56320
24	56610
25	56580
26	850475
26	56520
27	56570
28	56530
29	57430
30	57210
31	57560
32	57470
33	58130
33	58140
33	58150
33	58170
33	dm1112
33	d1833
33	d1834
33	d1836
33	d1832
33	dm1190
33	58320
33	861039
34	52790
34	55150
34	55320
35	54290
35	54300
35	54310
35	54380
35	54390
35	54460
35	54500
35	54510
35	860355
35	867716
36	54320
36	54330
36	54350
36	856572
36	856573
36	873149
37	52820
37	52830
37	52840
37	53020
37	850437
38	52850
38	58090
39	53430
39	53450
39	53470
39	53480
39	600644
40	53420
40	53430
40	53450
40	53470
40	53480
40	600644
41	53410
42	850444
43	52960
