MATCH	Root	Reconstruction	Gram_number	Gram_gender	Gram_form	Meaning_fr	Pages	Degree_Certainty	Relation_cpt__eg_forms	Coptic_S	Coptic_B	Coptic_A	Coptic_A2	Coptic_P	Coptic_F	Coptic_F0	Coptic_S0	Coptic_O	Coptic_B0	Coptic_A0	Coptic_M	Coptic_L	Coptic_G	Coptic_B_Gr	Coptic_Sf	Coptic_H	Coptic_A20	Coptic_Hf
2014	s-ꜥnḫ	*saꜥniḫ			inf.	faire vivre; vivifier; nourrir; gaver; éduquer	193	very_likely	same	ⲥⲁⲁⲛϣ	ϣⲁⲛϣ																	
2015	dy.t ꜥnḫ	*dy.t ꜥnḫ-ā			d-caus.|inf.	vivifier; faire vivre; maintenir en vie	218	very_likely	same	ⲧⲁⲛϩⲟ	ⲧⲁⲛϧⲟ																	
2016	ꜥnḫ				inf.	vivre	250	very_likely	same	ⲱⲛⳉ	ⲱⲛϧ			ⲱ-ⳋ														
2019	ꜥnq				inf.	avaler; engloutir	249	very_likely	same	ⲱⲙⲕ	ⲱⲙⲕ																	
2020	ꜥpšꜣyy					scarabée	45	very_likely	same									ⲉⲡϣⲉ										
2021	ꜥqy	*ꜥiqyaw				consécration	6	very_likely	same	ⲁⲉⲓⲕ	ⲁⲓⲕ		ⲁⲉⲓⲕ															
2022	ꜥqw	*ꜥaqyaw; *ꜥayqaw			part.	pain	154	very_likely	same	ⲟⲉⲓⲕ	ⲱⲓⲕ																	
2023	ꜥq				inf.	se coucher; entrer	249	very_likely	same		ⲱⲕ																	
2024	ꜥr					caillou; grêlon	6	very_likely	same	ⲁⲗ	ⲁⲗ				ⲉⲗ													
2025	ꜥnr					caillou; pierre ronde	8	very_likely	same	ⲁⲗⲱⲗⲉ																		
2026	ꜥrꜥr					musaraigne	8	very_likely	same	ⲁⲗⲓⲗ	ⲁⲗⲓⲗ, ⲁⲗⲓⲗⲓ																	
2027	ꜥrỉ				inf.	monter	7	perhaps	same									ⲁⲗⲟ										
2028	dy.t ꜥrỉ	*dy.t ꜥl(y)-ā			d-caus.|inf.	faire monter; offrir; fournir; ajouter; charger; monter (à bord); tisser; tresser	213	very_likely	same	ⲧⲁⲗⲟ	ⲧⲁⲗⲟ																	
2029	ꜥr			f		jonc; roseau de marais	16	very_likely	same		ⲁⲣⲱⲟⲩⲓ	ⲁⲣⲉⲓⲟⲩⲉ																
2031	ỉꜥr; ꜥr				inf.	soulever; porter; apporter; prendre; garder	249	very_likely	same	ⲱⲗ	ⲱⲗⲓ																	
2032	ꜥrḏ				inf.	fortifier; rendre fort; rendre solide	251	very_likely	same	ⲱⲣϫ																		
2034	ꜥrq-yy	*alq-īỉ				dernier jour du mois	8	very_likely	same	ⲁⲗⲕⲉ																		
2035	ꜥrq					fin; limite(s)	16	very_likely	same	ⲁⲣⲏϫ'=	ⲁⲩⲣⲏϫ'=	ⲁⲣⲏϫ'=	ⲁⲣⲏϫ'=		ⲁⲗⲟϫ'=													
2041	dy.t ꜥrq	*dy.t ꜥarq.ā			d-caus.|inf.	faire jurer; adjurer	220	very_likely	same	ⲧⲁⲣⲕⲟ	ⲧⲁⲣⲕⲟ				ⲧⲁⲗⲕⲁ													
2042	ꜥrq	°ꜥalq; *ꜥāliq			inf.	plier; courber; contracter	249	very_likely	same	ⲱⲗⲕ	ⲱⲗⲕ																	
2043	ꜥrq				inf.	jurer; prêter serment	250	very_likely	same	ⲱⲣⲕ	ⲱⲣⲕ																	
2045	ꜥršn					lentille(s)	16	very_likely	same	ⲁⲣϣⲓⲛ, ⲉⲣϣⲓⲛ, ⲉⲣϣⲁⲛ	ⲁⲣϣⲓⲛ				ⲁⲣϣⲓⲛ													
2047	ꜥršn					lentille(s)	16	very_likely	same	ⲁⲣϣⲁⲛ																		
2049	ꜥš				inf.	appler; nommer; lire; appel	155	very_likely	same	ⲟⲉⲓϣ																		
2051	ꜥš				inf.	crier; annoncer; promettre; menacer; conjurer; lire; déclarer; croire	251	very_likely	same	ⲱϣ	ⲱϣ																	
2052	ꜥšꜣ				inf.	augmenter; se multiplier	20	very_likely	same	ⲁϣⲁⲓ	ⲁϣⲁⲓ																	
2053	ꜥšꜣ.t	*ꜥašīꜣa.t		f		multitude	20	very_likely	same	ⲁϣⲏ	ⲁϣⲉ		ⲁϣⲏ		ⲁϣⲏⲓ													
2054	dy.t ꜥšꜣ	*dy.t ꜥšꜣ-ā			d-caus.|inf.	augmenter; multiplier	224	very_likely	same	ⲧⲁϣⲟ	ⲧⲁϣⲟ																	
2055	swšꜣ	*sawšàꜣ			nom d'agent=part.|act.|emphatique	vantard	275	very_likely	related__not_same	ϣⲟⲩϣⲟ		ϣⲁϣⲟ																
2056	ꜥš(ꜣ)					caméléon	20	very_likely	same		ⲁϣⲓⲣⲁ																	
2057	sdꜣdꜣ; sdd	*sadādaꜣ; *sadaꜣdaꜣ			inf.	trembler	199	very_likely	same	ⲥⲧⲱⲧ	ⲥⲧⲱⲧ																	
2059	mḏḥt			f		mortier (pour plier)	133	very_likely	same	ⲙⲇⲁϩⲧ																		
2060	mḏḥ					ceinture	132	very_likely	same		ⲙⲟϫϩ	ⲙⲟϫϧ			ⲙⲁϫ, ⲙⲁϫⲃ	ⲙⲟϫ	ⲙⲁϫⳉ, ⲙⲁϫϩ, ⲙⲟⲧϫϩ, ⲙⲟϫⲕϥ, ⲙⲁϫⲕϥ, ⲙⲟϫⲕϩ, ⲙⲟϫϥ, ⲙⲁϫϥ, ⲙⲟϫϩϥ, ⲙⲟϫϥϩϥ, ⲙⲟϫ		ⲙⲟⲩϫϧ, ⲙⲟϧϫ									
2064	mdn			f		repos	125	very_likely	related__not_same	ⲙⲟⲧⲛⲉⲥ																		
2065	mdn					repos	125	very_likely	related__not_same	ⲙⲟⲧⲛⲉϥ																		
2066	mdn	°madān; *madàn			inf.	être tranquille; être calme; reposer; guérir	125	very_likely	same	ⲙⲧⲟⲛ	ⲙⲧⲟⲛ																	
2069	mḏꜣ					nom d'une mesure	132	very_likely	same	ⲙⲁⲁϫⲉ																		
2070	mḏꜣ.t			f		ciseau	132	very_likely	same	ⲙⲁϫⲉ	ⲙⲁϫⲓ																	
2071	sgb	*sagīb; *sagìb; *sagìp				cri; bruit; son	279	very_likely	same	ϣϭⲁⲡ	ϣⲕⲁⲡ																	
2073	sgꜣ				inf.	paralyser; se figer; être paralysé	207	very_likely	same	ⲥⲱϭ																		
2074	zḥ					conseil	216	very_likely	same									ⲍⲱϩ										
2075							203	very_likely	same	ⲥⲁϣ	ⲥⲁϣ, ϣⲁϣ, ϣⲁϣⲓ				ϣⲉϣ, ϣⲏϣⲓ													
2076	sḫ.t			f		coup; blessure	203	very_likely	same	ⲥⲏϣⲉ		ⲥⲏⳉⲓ			ϣⲏϣⲓ													
2077	zḫy				inf.	battre; frapper	203	very_likely	same	ⲥⲱϣ																		
2078	sḫw				inf.	devenir; être amer	203	very_likely	related__not_same	ⲥⲓϣⲉ																		
2079	sḫw					amertume; field	203	very_likely	same	ⲥⲓϣⲉ	ⲛϣⲁϣⲓ	ⲥⲓⳉⲉ																
2080	sḫ.t			f		champ	203	very_likely	same	ⲥⲱϣⲉ				ⲥⲱⳋⲉ			ⲥⲱⲭⲉ, ⲥⲱϩⲉ, ϣⲱϣⲉ											
2081	sḫ.t	*saḫwet	pl	f		champ	203	very_likely	same								ⲥⲟⲟϣϣⲉ											
2082	sḫt-y	*saḫt-īy				tisserand	204	very_likely	same	ⲥⲁϣⲧ, ⲥⲁϩⲧ																		
2083	sḫt				inf.	tisser	204	very_likely	same	ⲥⲱϣⲉ, ⲥⲱϩⲉ, ⲥⲱϩⲧ	ⲥⲱϧⲓ																	
2084	sḫt-y	*sĕḫtītĕj				tisserand	273	very_likely	related__not_same	ϣϯⲧ																		
2085	zẖꜣ	*zaẖꜣaw				scribe; maître	204	very_likely	same	ⲥⲁϩ	ⲥⲁϧ	ⲥⲁⳉ																
2086	zẖꜣ	*zaẖꜣay			inf.	écrire	204	very_likely	same	ⲥⲱϩ																		
2087	zẖꜣ	*zaẖūꜣaw; *zaẖūꜣa.t			part.|pass.	document	204	very_likely	same		ⲥϧⲓ																	
2088	zẖꜣ				inf.	écrire	204	very_likely	same	ⲥϩⲁⲓ	ⲥϧⲁⲓ																	
2089	zẖY	*zāẖiy; *zāẖī			part.	sourd	204	very_likely	same	ⲥⲱⳉ, ⲥⲱϩ																		
2090	sẖb				inf.	avaler; tomber; plonger	206	very_likely	same	ⲥⲱϩⲡ, ⲥⲱⳉⲡ																		
2091	sẖb					goutte; gorgée	206	very_likely	same								ⲥⲓϩⲡⲉ											
2092	s-ḥdy	°siḥḏī.t; *siḥdi.t			inf.	allumer; brûler; chauffer; faire cuire	206	very_likely	same	ⲥⲁϩⲧⲉ	ⲥⲁϩϯ																	
2093	nḥḥ; nḥy					étérnité; éternel; éternellement	44	very_likely	same	ⲉⲛⲉϩ, ⲉⲛⲉϩⲉ, ⲉⲛⲏϩⲉ	ⲉⲛⲉϩ	ⲁⲛⲏϩⲉ	ⲁⲛⲏϩⲉ	ⲁⲛⲏϩⲉ	ⲉⲛⲉϩ	ⲉⲛⲉϩⲓ										ⲉⲓⲛⲏϩ		
2094	nḥm				inf.	sauver	152	very_likely	same	ⲛⲟⲩϩⲙ, ⲛⲟϩⲉⲙ																		
2095	sḥm				inf.	piler; opprimer	206	very_likely	same	ⲥⲱϩⲙ																		
2096	sḫm.t	°sāhima.t; *saḫma.t		f	part.|act.	Sakhmet	203	very_likely	same									ⲥⲁⲭⲙⲓ										
2097	sḫm	°siḫm; *sīḫim				statue; idole	271	very_likely	same				ϣⲓⲥⲙⲉ															
2098	sḫm	°siḫm; *sīḫim				ombre; fantôme	275	very_likely	same		ϣⲓϣⲉⲙ																	
2099	zḫn	*zaḫnaw; *zanḫaw; *zayḫaw			part.	paire; partenaire	186	very_likely	same	ⲥⲟⲉⲓϣ	ⲥⲱⲓϣ	ⲥⲁⲉⲓⳉ																
2102	zḫn	ziḫna.t		f		événement; coïncidence	271	very_likely	same	ϣⲥⲛⲉ		ⲥⳉⲛⲉ																
2103	nhp				inf.	se lamenter; être en deuil	152	very_likely	same	ⲛⲉϩⲡⲉ	ⲛⲉϩⲡⲓ																	
2104	nhp				inf.	féconder; couvrir; saillir	151	very_likely	same																			
2106	sḫr	°siḫr; *sīḫir; *sīḫiỉ				idéé; plan; conseil; manière; affaire	275	very_likely	same		ϣⲓϣⲓ																	
2107	dy.t nhzy	*dy.t nahs-ā			d-caus.|inf.	réveiller	218	very_likely	same				ⲧⲛⲁϩⲥⲟ'=															
2108	nhzy				inf.	se réveiller; se lever	152	very_likely	same	ⲛⲉϩⲥⲉ	ⲛⲉϩⲥⲓ																	
