MATCH	Root	Reconstruction	Gram_number	Gram_gender	Gram_form	Meaning_fr	Pages	Degree_Certainty	Relation_cpt__eg_forms	Coptic_S	Coptic_B	Coptic_A	Coptic_A2	Coptic_P	Coptic_F	Coptic_F0	Coptic_S0	Coptic_O	Coptic_B0	Coptic_A0	Coptic_M	Coptic_L	Coptic_G	Coptic_B_Gr	Coptic_Sf	Coptic_H	Coptic_A20	Coptic_Hf
4	bgs	°bags-īỉ; *bags-ìỉ				rebelle	30	very_likely	related__not_same				ⲃⲉⲝⲉ															
5	bgs		pl			rebelle	30	very_likely	related__not_same				ⲃⲉⲝⲉⲩ															
7	bgs	*bigsa.t		f		rébellion	34	very_likely	same				ⲃⲉϭⲥⲉ															
9	bgs				inf.	combattre	32	very_likely	related__not_same	ⲃⲱⲧⲥ	ⲃⲱⲧⲥ		ⲃⲱϭⲥ															
10	bh.t			f		paupière; sourcil	34	perhaps	same	ⲃⲟⲩϩⲉ, ⲃⲱϩⲉ	ⲃⲟⲩϩⲓ																	
11	bh.t		pl	f		paupière; sourcil	34	perhaps	same					ⲃⲁϩⲟⲩⲉ														
12	bẖ					taureau sacré	33	very_likely	same		ⲃⲟϩ																	
13	bhn	*bahin				couvrir	34	very_likely	same	ⲃⲱϩⲛ																		
14	bḥz.t			f		génisse	34	very_likely	same	ⲃⲁϩⲥⲉ	ⲃⲁϩⲥⲓ																	
15	by.t-y				nisbe	apiculteur	38	very_likely	same	ⲉⲃⲉⲓⲧ																		
16	by.t-y		pl		nisbe	apiculteur	38	very_likely	same	ⲉⲃⲓⲁⲧⲉ																		
18	by.t			f		miel	38	very_likely	same	ⲉⲃⲓⲱ	ⲉⲃⲓⲱ																	
19	by.t		pl	f		miel	38	very_likely	same	ⲉⲃⲓⲟⲟⲩⲉ																		
20	bỉk	*baỉīkw-ū	pl			faucon	34	very_likely	same		ⲃⲉϫⲓ																	
21	bỉk	°bayīkaw; *b[ỉ]īkō				faucon	34	very_likely	same	ⲃⲏϭ	ⲃⲏϫ				ⲃⲏϭ	ⲃⲓϭ												
22	b(y)n.t	*bayna.t		f	part.|act.	harpe	26	very_likely	same								ⲃⲟⲓⲛⲉ											
23	bỉn	*bāỉin			part.|act.	mauvais	29	very_likely	same		ⲃⲟⲛⲓ																	
24	bỉn.t	°bāỉina.t; *baỉna.t		f	part.|act.	mauvaise	29	very_likely	same	ⲃⲟⲟⲛⲉ																		
25	bỉn	*bāỉin			part.|act.	mauvais	28	very_likely	same	ⲃⲱⲱⲛ																		
26	bỉn.t	°bāỉina.t; *baỉna.t		f	part.|act.	mauvaise	28	very_likely	same		ⲃⲱⲛ	ⲃⲟⲩⲟⲩⲛ																
27	byn	*baỉīnaw			adj.	pauvre; malheureux; mauvais	38	very_likely	same	ⲉⲃⲓⲏⲛ	ⲉⲃⲓⲏⲛ	ⲉⲃⲓⲏⲛ, ϩⲃⲃⲓⲏⲛ	ⲃⲓⲏⲛ		ⲉⲃⲓⲏⲛ													
28	byꜣ	*bar			prenom.	métal	24	very_likely	same	ⲃⲁ-	ⲃⲁ-	ⲃⲁ-	ⲃⲁ-		ⲃⲁ-													
29	bỉꜣ.t	*baỉīꜣa.t		f	nom abstrait	étonnement	38	very_likely	same		ⲉⲃⲏ																	
30	bkꜣ.t	°bākiꜣa.t; *bakꜣa.t		f	part.|act.	enceinte; femme enceinte	26	very_likely	same		ⲃⲟⲕⲓ																	
31	bny	°binn-ū; *biny-ū	pl			datte	29	reconstruction_unclear	same	ⲃⲛⲛⲉ	ⲃⲉⲛⲓ																	
33	s-bny	*sabnay			inf.	éventer	14	very_likely	same	ⲥⲟⲃⲛ, ⲥⲟⲃⲛⲉ																		
35	bnw.t; bnwy.t	*ebnōyet; *benwōyet		f		meule; meule inférieure	48	very_likely	same		ⲉⲩⲛⲓ																	
37	bnbn				inf.	déborder; couler; s'écouler	159	very_likely	same	ⲡⲟⲙⲡⲉⲙ																		
38	pnꜥyy.t	*penꜥēyet; *pennēyet		f		montant de porte; seuil; marche	160	very_likely	same	ⲡⲛⲏ, ⲡⲛⲛⲏ	ⲃⲉⲛⲛⲏ																	
39	bl					côté extérieur	27	very_likely	same	ⲃⲟⲗ	ⲃⲟⲗ	ⲃⲁⲗ	ⲃⲁⲗ		ⲃⲁⲗ			ⲃⲁⲗ										
41	bq; bꜣq			f	nom verbal	colère	28	perhaps	related__not_same			ⲃⲗⲕⲉ	ⲃⲗⲕⲉ															
42	bq; bꜣq				inf.	être irrité, en colère	27	perhaps	related__not_same	ⲃⲱⲛⲕ		ⲃⲱⲗⲕ	ⲃⲱⲗⲕ		ⲃⲱⲣⲕ													
44	br	*biyra.t < *birya.t		f		corbeille; bateau	26	very_likely	same	ⲃⲁⲓⲣⲉ	ⲃⲁⲓⲣⲓ																	
46	bly	°būl(y)ū; *bil				oeil	27	very_likely	same	ⲃⲁⲗ	ⲃⲁⲗ	ⲃⲉⲗ	ⲃⲉⲗ		ⲃⲉⲗ			ⲃⲉⲗ										
47	bl	°baly-īy; *bely-ìꜣ				aveugle	27	very_likely	same	ⲃⲗⲗⲉ	ⲃⲉⲗⲗⲉ																	
48	bl		pl			aveugle	27	very_likely	same	ⲃⲗⲗⲉⲉⲩ	ⲃⲉⲗⲗⲉⲩ																	
49	bl			f		aveugle	27	very_likely	same	ⲃⲗⲗⲏ	ⲃⲉⲗⲗⲏ																	
50	brbr				inf.	boillir; sourdre; flamber; cuire	30	very_likely	same	ⲃⲣⲃⲣ	ⲃⲉⲣⲃⲉⲣ																	
51	brbr; bꜣbꜣ				part.|pass. ?	javelot; lance; pierre pointue	30	very_likely	same		ⲃⲉⲣⲃⲓⲣ																	
52	bry-w		pl			mulet; muge	30	very_likely	same	ⲃⲱⲣⲉ																		
53	br					mulet; muge	30	very_likely	same										ⲫⲟⲣⲓ, ϥⲟⲣⲓ									
54	brgt			f		nom d'une pierre précieuse	4	very_likely	same	ⲁⲃⲉⲣⲏϫ																		
55	brg				inf.	s'écrouler	31	very_likely	same	ⲃⲱⲣϭ																		
56	brhmt		pl			Blémye	28	very_likely	related__not_same	ⲃⲁⲗϩⲙⲟⲩ, ⲃⲗⲙⲙⲟⲟⲩⲉ	ⲃⲁⲗⲛϩⲙⲱⲟⲩ, ⲃⲁⲗϩⲙⲱⲟⲩ, ⲃⲁⲗⲛⲉⲙⲱⲟⲩⲓ																	
57	brkt	*birkàwt-i	pl	f		Farshut; étang	31	very_likely	same	ⲃⲉⲣϭⲟⲟⲩⲧ																		
58	brkt	*birkàt-i		f		Farshut; étang	31	very_likely	same		ⲃⲉⲣϭⲱⲧ																	
59	brq	*barīq-a				éclair	39	reconstruction_unclear	related__not_same	ⲉⲃⲣⲏϭⲉ, ⲃⲣⲏϭⲉ		ⲉⲃⲣⲏϭⲉ	ⲃⲣⲏϭⲉ															
60	bsbs	*basbis; *bisbis				espèce d'oie ou de canard	32	very_likely	same	ⲃⲁⲥⲃⲉⲥ																		
61	bs	*bīsaw				le dieu Bês	31	very_likely	same	ⲃⲏⲥ																		
62	bš	*bišꜣ-ū	pl			figues vertes	33	very_likely	same	ⲃⲏⲏϣ, ⲃⲉⲉϣ	ⲃⲏϣ, ⲃⲉϣ																	
63	bsn.t-y	*besnēti			nisbe/part.	forgeron	32	very_likely	related__not_same	ⲃⲉⲥⲛⲏⲧ	ⲃⲁⲥⲛⲏⲧ																	
64	bsn.t-y	*besnēti	pl		nisbe/part.	forgeron	32	very_likely	related__not_same	ⲃⲉϣⲛⲁⲧⲉ																		
67	bw; bw.t					crime; outrage	33	very_likely	same				ⲃⲏⲩ															
68	byꜣ					métal	24	very_likely	same	ⲃⲁ-	ⲃⲁ-	ⲃⲁ-	ⲃⲁ-		ⲃⲁ-													
69	byꜣ					voûte céleste	26	very_likely	same	ⲃⲁⲓ	ⲃⲁⲓ																	
70	bꜣ					esprit; âme	25	very_likely	same									ⲃⲁⲓ										
71	bꜣ					bouc	30	very_likely	same		ⲃⲁⲣⲏⲓⲧ				ⲃⲁⲣⲓⲧ													
72	bꜣbꜣt				inf.	sourdre; se déverser; pluie	25	perhaps	same	ⲃⲉⲉⲃⲉ	ⲃⲉⲃⲓ																	
73	bꜣbꜣ	*bībaw				caverne; nid	25	very_likely	same	ⲃⲏⲃ	ⲃⲏⲃ																	
74	bꜣbꜣ.t			f		grain	27	very_likely	same	ⲃⲗⲃⲓⲗⲉ			ⲃⲗⲃⲓⲗⲉ															
75	bꜣw(-.t?)			f		tumulus; colline	33	very_likely	same	ⲃⲟⲟⲩ																		
76	bꜣ.t			f		arbre	24	very_likely	same	ⲃⲱ	ⲃⲱ	ⲃⲟⲩ	ⲃⲱ		ⲃⲱ													
77	bꜣḥ					pénis	33	very_likely	same	ⲃⲁϩ																		
78	bꜣkꜣ.t	*bikꜣa.t		f		ville	26	very_likely	same		ⲃⲁⲕⲓ																	
81	bꜣk.yt		pl	f		salaire	26	very_likely	same		ⲃⲉⲭⲏⲟⲩⲓ				ⲃⲉⲕⲏ, ⲃⲉⲕⲁⲩⲓ													
82	bꜣk.t	*bakꜣét; *baꜣkét		f		salaire	26	very_likely	same									ⲃⲓⲕⲉ										
83	bꜣk	°baꜣīk				serviteur	26	very_likely	same		ⲃⲱⲕ																	
84	bꜣk	°baꜣīk-ū; *bayīk-ū	pl			serviteur	26	very_likely	same		ⲉⲃⲓⲁⲓⲕ, ⲃⲁⲓⲁⲓⲕ																	
85	bꜣk.t	*baꜣāka.t		f		servante	27	very_likely	same		ⲃⲱⲕⲓ																	
86	bꜣk.t	*biꜣk-i.t; *biyk-i.t; *bīk-i.t		f		salaire	26	very_likely	same	ⲃⲉⲉⲕⲉ, ⲃⲏⲕⲉ																		
87	bꜣk.t	*bakꜣét; *baꜣkét		f		salaire	26	very_likely	same	ⲃⲉⲕⲉ	ⲃⲉⲭⲏ				ⲃⲉⲕⲏ													
88	bꜣq.t	*balqāwet		f		cruche d'eau	28	very_likely	same		ⲃⲁⲗⲕⲟⲩ																	
89	bꜣs	°baꜣīs				récipient	31	very_likely	same																			
90	bꜣs			f		seau	31	very_likely	same	ⲃⲏⲥⲉ																		
91	bꜥy; bi-ꜥy	*biꜥyaw				branche du palmier (dépouillée de ses feuilles)	24	very_likely	same	ⲃⲁ, ⲃⲁⲉ, ⲃⲁⲉⲓ	ⲃⲁⲓ																	
94	bꜥḥ	*baꜥāḥ-a.t		f		fossé	241	very_likely	same		ⲟⲩⲟϩⲓ								ⲃⲟϩⲓ									
95	dywt						209	very_likely	same	-ⲧⲉ, -ⲧⲏ, ϯⲟⲩ	ϯⲟⲩ																	
96	dyt	°dawīy-a.t; *dayīy.a.t		f		cinq	209	very_likely	same	ϯⲉ, ϯ																		
98	m-dy	*m-yadīy-ū'=	NN	NN	prep.	chez; avec	145	very_likely	same	ⲛⲧⲁ'=, ⲛⲧⲉ-	ⲛⲧⲁ'=, ⲛⲧⲉ-																	
99	dꜣ		NN	NN	adv.	ici	212	very_likely	same	ⲧⲁⲓ	ⲧⲁⲓ																	
100	dꜣ		NN	NN	adv.	là-bas	208	very_likely	same		ⲧⲏ																	
101	dy.t (r)d(y)	*dy.t d-ā'=			d-caus.|inf.	faire donner	222	very_likely	same	ⲧⲟ, ⲧⲧⲟ																		
102	rdy; dy	°ridi.t; *di.t			inf.	donner; trasmettre; vendre; payer; se rendre	209	very_likely	same	ϯ	ϯ																	
103	dmḏ	°damīḏ; *damìd			part.|pass.	totalité	216	very_likely	same				ⲧⲙⲉⲧ					ⲧⲙⲉⲧ										
104	dmḏ				inf.	recontrer; rencontre	215	very_likely	same	ⲧⲱⲙⲛⲧ, ⲧⲱⲙⲧ	ⲧⲱⲙⲧ																	
106	db					bord; pli; sein	218	very_likely	same	ⲧⲟⲡ, ⲧⲟⲃ																		
107	dp				inf.	goûter	219	very_likely	same	ⲧⲱⲡ, ⲧⲱⲡⲉ																		
108	dp.t			f		goût	218	very_likely	same	ϯⲡⲉ	ϯⲡⲓ																	
109	ḏny.t			f		boîte; caisse	328	perhaps	same	ϫⲁⲛⲉ																		
110	ḏnyw					panier	328	perhaps	same		ϫⲁⲛⲟ																	
111	ḏb.t			f		birque	210	very_likely	same	ⲧⲱⲃⲉ, ⲧⲱⲱⲃⲉ	ⲧⲱⲃⲓ																	
112	s-dbḥ-w	*sadbīy-ū; *sadbīw-ū	pl/coll			outils	198	very_likely	same		ⲥⲉⲑⲃⲁⲓⲟⲩ, ⲥⲑⲃⲁⲓ, ⲥⲑⲃⲁⲓϩ, ⲥⲧⲉⲃⲁⲉⲓϩ																	
113	dbḥ				inf.	prier	211	very_likely	same	ⲧⲱⲃⲁϩ, ⲧⲱⲃϩ	ⲧⲱⲃϩ																	
114	ḏnf	*ḏūlfa.t		f		gecko	214	very_likely	same		ⲧⲉⲗϥⲓ																	
115	ḏnḥ	*ḏūnḥ-ū				aile	217	very_likely	same	ⲧⲏⲛϩ, ⲧⲛϩ	ⲧⲉⲛϩ	ⲧⲛϩ	ⲧⲛϩ		ⲧⲏⲛϩ, ⲧⲉϩⲉⲛ					ⲧϩⲛ								
116	ḏnḥ					bras; avant-bras; aile	329	very_likely	same	ϫⲛⲁϩ, ϫⲛⲁⲩϩ	ϭⲛⲁϩ, ϭⲛⲁⲩϩ																	
119	ḏbꜣ				inf.	récompenser; rendere; se venger; récompense; paiement	211	very_likely	same	ⲧⲱⲱⲃⲉ	ⲧⲱⲡ, ⲧⲱⲃ																	
120	ḏbꜣ.t; ḏby.t			f		caisse; cercueil; récipient; poche	212	very_likely	same	ⲧⲁⲓⲃⲉ	ⲧⲁⲓⲃⲓ																	
121	ḏbꜣ.t; ḏby.t			f		caisse; cercueil; récipient; poche	212	very_likely	same	ⲧⲏⲃⲉ, ⲧⲏⲏⲃⲉ																		
122	dngr	°dalāg; *dalàg				courge; gourde	340	very_likely	same	ϭⲗⲟϭ	ϭⲗⲟϫ																	
124	dp.t			f		rein	218	very_likely	same	ϯⲡⲉ	ϯⲡⲓ																	
125	dqr				inf.	s'attacher; toucher	227	very_likely	same	ⲧⲱⲕⲣ, ⲧⲱⲣⲕ, ⲧⲱⲣϭ, ⲧⲱϭⲣ																		
126	ḏbꜥ.t			f		sceau; obole	211	very_likely	same	ⲧⲃⲃⲉ																		
127	ḏbꜥ.t			f		sceau; obole	211	very_likely	same		ⲧⲉⲃⲓ																	
128	ḏbꜥ	°ḏūbaꜥ; °ḏöbaꜥ; *šȫbaꜥ				doigt; orteil; doigt comme mesure	210	very_likely	same	ⲧⲏⲏⲃⲉ	ⲧⲏⲃ																	
129				f		sceau	211	very_likely	same	ⲧⲟⲟⲃⲉⲥ	ⲧⲉⲃⲥ, ⲧⲟⲡⲥ, ⲧⲟⲃⲥ																	
130	ḏbꜥ				inf.	sceller	211	very_likely	same	ⲧⲱⲱⲃⲉ	ⲧⲱⲃ, ⲧⲱⲃⲓ																	
133	ḏqꜥ				inf.	piquer; couper; mordre; stimuler	325	very_likely	same	ϫⲱⲱⲕⲉ, ϫⲟⲩⲟⲩⲕⲉ, ϫⲉⲉⲕⲉ	ϫⲱⲕϩ, ϫⲟⲩⲕϩ																	
135	tltl				inf.	goutter; faire goutter	214	very_likely	related__not_same	ⲧⲗⲧⲗ	ⲧⲉⲗⲧⲉⲗ																	
137	s-ḏd	*siḏdī.t			inf.	parler; parole; conte; discours; chose	278	very_likely	same	ϣⲁϫⲉ	ⲥⲁϫⲓ	ϣⲉϫⲉ	ϣⲉϫⲉ	ϣⲁϫⲉ	ⲥⲉϫⲓ													
138	sḏd-w	*saḏīy			part.|pass.	rumeur; bruit; bavardage	278	very_likely	same		ϣϫⲏⲓ																	
139	ḏd	°ḏid; *ḏid			inf.	dire; raconter; chanter	323	very_likely	same	ϫⲱ	ϫⲱ	ϫⲟⲩ																
140	m-ḏr		NN	NN	prep.	lorsque	147	very_likely	same	ⲛⲧⲉⲣⲉ-																		
142	ḏrḏrỉ	*ḏiḏꜣīy; *ḏiḏḏīy				ennemi; ennemie	333	very_likely	same	ϫⲁϫⲉ	ϫⲁϫⲓ																	
147	ḏr; ḏry.t; ḏry	°ḏāriya.t; *ḏarya.t; *ḏaꜣya.t		m/f		mur; paroi	323	very_likely	same	ϫⲟ, ϫⲟⲉⲓ, ϫⲟⲓⲉ, ϫⲱ	ϫⲱ, ϫⲟⲓ, ϫⲱⲓ																	
148	ḏr; ḏry.t; ḏry	*ḏaꜣìywet; *ḏaꜣīwet	pl	m/f		mur; paroi	323	very_likely	same	ⲉϫⲏ																		
149	ḏrỉ	°ḏarāỉ; *ḏaràỉ; *ḏarrāỉ			inf.	être fort, dur, victorieux; affirmer; renforcer; stimuler; vaincre	330	very_likely	same	ϫⲣⲟ	ϭⲣⲟ				ϫⲣⲁ						ϫⲁⲣⲁ							
151	ḏlj; ḏrỉ					entourer; barrer; assiéger	337	very_likely	same		ϭⲗⲟ																	
153	ḏrỉ			f		clôture; mur; haie	337	very_likely	related__not_same		ϭⲣⲱ																	
155	ḏdf.t	ḏidfa.t		f		vermine; reptile	332	very_likely	same	ϫⲁⲧϥⲉ	ϫⲁⲧϥⲓ	ϫⲉⲧϥⲉ							ϭⲁⲧϥⲓ									
156	tks.t	*digsa.t		f		plante (des pieds); trace	227	very_likely	same	ⲧⲁϭⲥⲉ, ⲧⲁⲕⲥⲉ, ⲧⲁⲧⲥⲉ	ⲧⲁⲧⲥⲓ																	
157	dgs				inf.	fixer; fouler; fouler (drap); paver; enforcer (clou)	227	very_likely	same	ⲧⲱⲧⲥ, ⲧⲱϭⲥ	ⲧⲱⲧⲥ																	
160	tk; dgꜣ; dgꜣyy.t			m/f		morceau; bloc; masse; gâteau	226	very_likely	same	ⲧⲁϭ	ⲧⲁϫ																	
164	dgꜣ				inf.	ajouter; appliquer; joindre; planter; mettre (pierre); ériger (colonne); construire (voute)	227	very_likely	same	ⲧⲱⲱϭⲉ	ⲧⲱϫⲓ						ⲧⲱⲕⲉ											
167	dšr					grains de lin	58	very_likely	same		ⲑⲉⲣϣ, ⲑⲏⲣϣ																	
169	mnš					rouge; roux	121	very_likely	same	ⲙⲏⲣϣ	ⲙⲏⲣϣ																	
170	mnš				inf.	rouge; roux	121	very_likely	related__not_same	ⲙⲣⲟϣ																		
173	dšr	*dāšir; *dāriš			part.|act.	rouge	221	very_likely	same	ⲧⲱⲣϣ																		
175	dšr.t	*daꜣīša.t		f		rouille (du blé); mildiou	48	very_likely	same		ⲉⲧⲏϣⲓ																	
176	dšr.t	*daꜣīša.t		f		la rouge; flamand	48	very_likely	same		ⲉⲧⲏϣⲓ																	
177	ḏrꜥ				inf.	être gai; s'amurer; rire; amusement; gaîté; festin; se disperser	331	uncertain	same	ϫⲏⲣ																		
178	ḏrꜥ				inf.	étendre; répandre	331	very_likely	same	ϫⲱⲱⲣⲉ	ϫⲱⲣ	ϫⲟⲩⲟⲩⲣⲉ																
179	wḏꜣyy.t			f		vipère	23	perhaps	related__not_same		ⲁϫⲱ																	
180	ḏw	*ḏaw(y)				montagne; désert	223	very_likely	same	ⲧⲟⲟⲩ	ⲧⲱⲟⲩ	ⲧⲁⲩ	ⲧⲁⲩ		ⲧⲁⲩ													
181	ḏw		coll	f		montagne; désert	223	very_likely	same	ⲧⲟⲩⲉⲓⲏ																		
182	ḏw		pl			montagne; désert	223	very_likely	same		ⲧⲟⲩⲉⲓⲉⲩⲉ																	
183	dḥr	°daḥār; °daḥāꜣ; *daḥāꜣ			inf.	être mauvais; rendre mauvais	57	very_likely	same	ⲑⲟ, ⲧϩⲟ, ⲑⲟϩ	ⲧϩⲟ, ⲑⲟϩ																	
184	sdwn	*sadwan; *sawdan			inf.	dresser; étendre; préparer; ranger; présenter	202	very_likely	same	ⲥⲟⲟⲩⲧⲛ	ⲥⲱⲟⲩⲧⲉⲛ																	
185	dwn	°dawn; *dāwūn			inf.	se lever; établissement; création; resurrection	224	very_likely	same	ⲧⲱⲟⲩⲛ, ⲧⲱⲱⲛ, ⲧⲟⲟⲩⲛ	ⲧⲱⲛ, ⲧⲱⲟⲩⲛ																	
186	dwꜣw					matin	317	very_likely	same	ⲧⲟⲟⲩⲉ	ⲧⲟⲟⲩⲓ	ⲧⲁⲩⲉ	ⲧⲁⲩⲉ															
187	dꜣ.t			f		l'au-delà; les enfers	208	very_likely	same									ⲧⲏ, ⲧⲏⲓ										
188	ḏꜣḏꜣw	*ḏaꜣḏāꜣaw; *ḏaḏāꜣō; *ḏḏāꜣ				coupe	324	very_likely	same	ϫⲱ		ϫⲟⲩ	ϫⲱ															
189	ḏꜣḏꜣ	*ḏaꜣḏaꜣ				tête; chef	334	very_likely	same	ϫⲱϫ	ϫⲱϫ																	
190	ḏꜣyy	°ḏāꜣiyaw; *ḏaꜣyaw			part.|duratif	espèce de bateau fluvial	324	very_likely	same	ϫⲟⲓ	ϫⲟⲓ																	
191	ḏꜣyy	°ḏāꜣiya̯-ū; *ḏaꜣīw-ū	pl		part.|duratif	espèce de bateau fluvial	324	very_likely	same	ⲉϫⲏⲩ	ⲉϫⲏⲩ																	
192	ḏdꜣ				inf.	pénétre; perforer; traverser	332	very_likely	same	ϫⲱⲧ, ϫⲱⲧⲉ																		
194	gyt	*gayāta.t		f		pointe de la queue du scorpion	337	very_likely	same		ϭⲓⲱϯ																	
196	ḏꜣf				inf.	brûler; être acid, amer, fort	333	very_likely	same	ϫⲟⲩϥ, ϫⲱϥ	ϫⲟⲩϥ, ϫⲱϥ																	
197	ḏꜣm					s'efforcer; s'occuper	326	very_likely	same				ϫⲱⲙ															
198	ḏꜣm; ḏꜣnw	°ḏarm; °darn; °ḏaꜣn				génération; race	326	very_likely	same	ϫⲱⲙ	ϫⲱⲟⲩ																	
199	ḏꜥn.t	*ḏūꜥn-a.t; *ḏöꜥn-a.t		f		Tanis	328	very_likely	same	ϫⲁⲁⲛⲉ	ϫⲁⲛⲓ																	
200	mḏꜣl		pl			braises	132	very_likely	same	ⲙⲉϫⲏⲗ																		
201	ḏꜣr				inf.	allumer; brûler; flamber	330	perhaps	same	ϫⲉⲣⲟ	ϭⲉⲣⲟ				ϫⲉⲗⲁ													
202	ḏꜣr.t			f		cosse de caroube	324	very_likely	same	ϫⲓⲉⲓⲣⲉ	ϫⲏⲣⲓ, ϫⲓⲛⲓⲣⲓ																	
204	ḏꜥ	*ḏaꜥy-īỉ; * ḏaꜥy-īỉ				désert	324	very_likely	related__not_same	ϫⲁⲉⲓⲉ																		
205	ḏꜥ		pl			désert	324	very_likely	related__not_same	ϫⲁⲓⲉⲩⲉ																		
206	ḏꜥ					éclat; copeau; petite chose insignifiante	329	very_likely	same	ϫⲏ	ϫⲏⲓ																	
207	ḏꜥ	*ḏāꜥaw				vent; tempête	323	very_likely	same			ϫⲟ																
210	ḏꜥr					espion; éclaireur	330	perhaps	same	ϫⲏⲣ	ϫⲏⲣ																	
212	ḏꜥr				inf.	examiner; étudier	330	perhaps	same	ϫⲱⲣ																		
213	f				pron.	il	279	very_likely	same	ϥ	ϥ																	
214						vipère à cornes	280	perhaps	same		ϥⲁⲓ																	
215	ỉfd-w	*ỉeftòw				quatre	281	very_likely	same	ϥⲧⲟⲟⲩ		ϥⲧⲁⲩ																
216	ỉfd.t	*ỉeftò.t		f		quatre	281	very_likely	same	ϥⲧⲟ, ϥⲧⲟⲉ		ϥⲧⲟⲉ																
217	fd				inf.	essuyer; anéantir; arracher	281	very_likely	same	ϥⲱⲧⲉ	ϥⲱϯ																	
218	fd.t			f		sueur	281	very_likely	same		ϥⲱϯ																	
222	fḫ; ḫf				inf.	détruire; dévaster; être detruit; être dévasté	276	very_likely	same	ϣⲱϥ	ϣⲱϥ	ⳉⲱϥ																
224	fnṯ					ver	280	very_likely	same	ϥⲛⲧ	ϥⲉⲛⲧ																	
225	fqꜣ				inf.	sauter; courir	282	very_likely	same	ϥⲱϭⲉ	ϥⲱϫⲓ																	
226	fqꜣ				inf.	arracher; saisir	281	very_likely	same	ϥⲱϭⲉ	ϥⲱϫⲓ																	
228	ft				inf.	polluer; détester	32	very_likely	same	ⲃⲱⲧⲉ, ϥⲱⲧⲉ																		
229	fꜣy	°fiꜣi.t; *fiꜣi.t			inf.	soulever; porter; apporter; enlever; se lever	280	very_likely	same	ϥⲓ	ϥⲓ																	
230	fꜣy					celui qui porte	280	very_likely	same	ϥⲓⲧ																		
231	fꜣyy.t	°fāꜣiya.t; *fàꜣya.t		f		canal; conduite d'eau	280	very_likely	same	ⲃⲟ, ⲃⲟⲟ, ϥⲟ, ϥⲱⲓ	ϥⲟⲓ, ϥⲱⲓ																	
232	fꜣy	*fiꜣya.t; *fiꜣyit 			inf.	soulever; porter; apporter; enlever; se lever	280	very_likely	same		ϥⲁⲓ																	
233	fꜥy; fꜥꜣ	*faꜥay				cheveu; cheveux	280	very_likely	same	ϥⲱ	ϥⲱⲓ	ϥⲟⲩⲉ	ϥⲟⲩⲉ				ϥⲱⲉ, ⲃⲱ, ⲟⲩⲱ											
234	fwꜥ	*fāwaꜥ				cheveu; cheveux	280	very_likely	same						ϥⲱⲟⲩ													
235	gbgb				part.|pass.	petit de taille	324	very_likely	related__not_same		ϫⲁⲃϫⲓⲃ																	
236	gbgb	*gabgūbaw	pl		part.|pass.	morceaux; fragments < terrasser	336	very_likely	related__not_same	ϭⲉⲃϭⲓⲃ																		
237	gbgb	*gabgūbaw	pl		part.|pass.	morceaux; fragments < terrasser	336	very_likely	related__not_same																			
238	gb				inf.	endommager	344	perhaps	related__not_same	ϭⲟⲡ	ϭⲟⲡ																	
241	gby	*gābiy			part.|act.	être faible; désespéré	335	very_likely	same	ϭⲱⲃ	ϫⲱⲃ, ϫⲱⲃⲓ																	
242	gbt	*gūbtīy				Koptos	72	very_likely	same	ⲕⲃⲧ, ⲕϥⲧ	ⲕⲉⲃⲧⲱ, ⲕⲉⲡⲧⲟ, ⲕⲉϥⲧ																	
243	gbꜣ; gby	*gabày				bras; jambe (d'animaux)	336	very_likely	same	ϭⲃⲟⲉⲓ	ϫⲫⲟⲓ																	
244	gbꜣ; gby		du			bras; jambe (d'animaux)	336	very_likely	same	ϭⲃⲟⲉ																		
245	gḏ; gḏw; qḏ.t					main; pied de devant d'une bête	92	very_likely	same	ϭⲓϫ	ϫⲓϫ			ⲕⲓϫ	ϭⲓϭ, ϫⲓϫϩ						ϭⲓϭ							
246	gḏ; gḏw; qḏ.t	*qiḏw-ū; *qiwḏ-ū	pl			main; pied de devant d'une bête	92	very_likely	same						ϫⲉⲩϫ, ϫⲉⲟⲩϫ, ϫⲉⲟⲩϫϩ, ϫⲉⲟⲩϩϫ, ϫⲉϫⲟⲩϫϩ													
247	gḥs; gḥs.t	*gaḥsa.t		f		gazelle	350	very_likely	same	ϭⲁϩⲥⲉ, ϭⲁϩⲥⲉ																		
248	gḥs; gḥs.t	*gaḥìs; *gaḥūs; *gvḥàs				gazelle	350	very_likely	same	ϭϩⲟⲥ																		
249	grw					silencieux	85	very_likely	same	ⲕⲟⲩⲣ	ⲕⲟⲩⲣ				ⲕⲟⲩⲗ													
250	grw			f		silencieux	85	very_likely	same						ⲕⲁⲩⲣⲓ													
251	gl					paralysé	337	very_likely	same	ϭⲁⲗⲉ, ϭⲁⲗⲏ	ϭⲁⲗⲉ, ϭⲁⲗⲏ																	
252	gl		pl			paralysé	337	very_likely	same	ϭⲁⲗⲉⲉⲩ	ϭⲁⲗⲉⲩ																	
253	gr				inf.	se taire; cesser	335	very_likely	same	ϭⲱ	ϫⲱ																	
254	knm				inf.	entourer; envelopper; embrasser; enrouler	338	very_likely	related__not_same	ϭⲗⲟⲙⲗⲙ, ⲕⲗⲟⲙⲗⲙ	ϭⲗⲟⲙⲗⲉⲙ, ⲕⲗⲟⲙⲗⲉⲙ																	
