MATCH__ID	MATCH__form	MATCH__meaning_en	MATCH__gram_number	MATCH__gram_gender	MATCH__pattern
710					j-
711					j-
712				f	j-
713					rr-rr
714				f	j-
715					j-
716				f	j-
717					
718					
719					
720					
721					
722					
723					
724					
725					
726					
727					
728			NN	NN	
729					j-
730				f	j-
731					j-
732					j-
733				f	j-
734					j-
735			NN	NN	
736					
737				f	
738				f	
739				f	
740					
741					
742					j-
743					
744					j-
745				f	j-
746					j-
747					j-
748			pl		j-
749				f	j-
750					j-
751			pl		j-
752					j-
753					
754					j-
755			NN	NN	j-
756			pl		
757					xrr
758				f	xrr
759					j-
760					j-
761					j-
762				f	j-, xrr
763					j-
764					j-
765					j-
766				f	j-
767				f	
768				f	
769				f	
770					
771				f	
772				f	
773					j-
774					j-
775					j-
776					j-
777					
778					
779					
780					
781			pl		
782					
783				f	
784					
785				f	
786					
787					
788					
789					
790				f	
791				f	
792					j-
793			pl		j-
794					xrr
795				f	j-
796					j-
797					j-
798			pl ?		j-
799					j-
800			NN	NN	j-
801			NN	NN	j-
802				f	j-
803					j-
804					j-
805					j-
806			pl		j-
807					j-
808					j-
809			pl		j-
810				f	j-
811					j-
812					j-
813					j-
814					j-
815				f	j-
816					j-
817			coll		j-
818			coll		j-
819					j-
820					j-
821					j-
822				f	j-
823			NN	NN	j-
824					j-
825					j-
826				f	j-
827				f	j-
828					j-
829					j-
830					j-
831					j-
832					j-
833					j-
834				f	j-
835					j-
836					j-
837				f	j-
838				f	j-
839					
840				f	j-
841					j-
842				f	j-, xrr
843					j-
844					j-
845					j-
846					j-
847			pl		j-
848					j-
849					j-
850					
851				f	
852					
853					
854					
855				f	
856				f	
857					
858					
859			pl		
860					
861				f	
862				f	
863				f	xrr
864					
865					
866					s-
867					s-
868				f	
869					
870				f	
871					
872				f	
873					
874					
875					
876					
877					
878					rr-rr
879					
880					
881					
882					xrr
883					xrr
884			pl ?		xrr
885					rr-rr
886					rr-rr
887					rr-rr
888				f	
889					
890					
891					
892					rr-rr
893					rr-rr
894					
895					
896			pl		
897					
898			pl		
899				f	
900					
901				f	
902					
903			pl		
904				f	
905					
906					
907					
908					
909				f	
910					
911					
912				f	
913					
914					
915					
916				f	
917					
918				f	
919					
920					
921					
922					
923				f	
924					
925					
926					
927					
928				f	
929					
930				f	
931			pl	f	
932				f	
933					rr-rr
934					
935					
936					
937				m/f	
938					
939				f	
940			du		
941				f	
942					j-
943					
944					
945				f	
946				f	j-
947					
948					
949				f	
950			pl	f	
951					s-
952				f	
953					s-
954					s-
955				f	j-
956			du		
957			NN	NN	
958			NN	NN	
959					rr-rr
960					
961			pl		
962					
963					
964					
965					
966					
967					xrr
968					xrrr
969					
970				f	
971				f	
972					
973					
974					j-
975				f	
976					
977					
978					
979					
980					
981				f	
982				f	
983					
984					
985				f	
986				f	
987				f	
988				f	
989					
990					
991					
992					
993					
994				f	
995				f	
996				f	
997					
998					
999				f	
1000			pl		
1001				f	
1002					
1003				f	
1004					
1005				f	
1006					
1007					
1008					
1009				f	
1010					
1011			pl.		
1012					
1013					
1014					
1015				f	
1016					
1017			pl		
1018					
1019				f	
1020					
1021			pl		
1022					
1023					s-
1024				f	
1025					
1026			coll	f	
1027			pl		
1028				f	
1029				f	
1030					
1031				f	
1032					
1033					
1034			pl		
1035				f	
1036				f	
1037				f	
1038					
1039					
1040					
1041				f	
1042					
1043				f	
1044					
1045					
1046					
1047					
1048					
1049					
1050					
1051					n-
1052					m-
1053			pl		m-
1054				f	
1055					
1056					
1057					
1058					
1059					
1060					
1061					
1062					
1063					
1064				f	
1065				f	
1066					
1067					
1068					
1069					
1070					
1071					
1072					
1073					
1074					
1075					
1076				f	
1077					
1078					
1079					
1080					
1081					
1082			pl		
1083				f	
1084					
1085				f	
1086					
1087					
1088					rr-rr
1089					
1090				f	
1091				f	
1092					
1093					
1094				f	
1095					
1096					
1097				f	
1098				f	
1099					
1100					
1101					
1102			pl		
1103					
1104					
1105					
1106					
1107				f	
1108					
1109					
1110					
1111			NN	NN	
1112				f	
1113			pl	f	
1114				f	
1115					
1116					
1117					
1118				f	
1119					
1120				f	
1121					
1122				f	
1123					
1124				f	
1125					
1126				f	
1127			du		
1128			du		
1129					
1130					
1131					
1132				f	
1133					
1134				f	
1135					
1136				f	
1137			pl	f	
1138					
1139			pl		
1140					
1141				f	
1142					
1143				f	
1144					
1145					xrr
1146					
1147					
1148				f	
1149					
1150					
1151				f	
1152			pl	f	
1153					
1154					
1155				f	
1156					rr-rr
1157					
1158				f	
1159					
1160					
1161					
1162				f	
1163					
1164					
1165					
1166					
1167				f	
1168					
1169					
1170					
1171					
1172					
1173					
1174					
1175					
1176					
1177					
1178					
1179					
1180				f	
1181					
1182					
1183				f	
1184				f	
1185					
1186					rr-rr
1187					
1188					
1189					
1190				f	
1191					
1192					
1193			NN	NN	
1194					
1195				f	
1196				f	
1197					
1198					
1199					
1200				f	
1201					
1202					
1203					
1204					
1205					xrr
1206					
1207					xrr
1208				f	
1209					
1210					
1211					
1212					
1213					n-, xrr
1214					
1215					n-, xrr
1216				f	
1217					
1218				f	
1219			pl	f	
1220					
1221					
1222					
1223					
1224					
1225			pl		j-
1226					j-
1227					
1228					
1229					
1230					
1231					
1232					
1233					
1234					
1235					
1236					s-
1237					rr-rr
1238				f	
1239					
1240					rr-rr
1241				f	
1242					
1243					
1244					m-
1245					
1246					
1247					
1248					
1249					
1250					
1251					
1252			pl		
1253					rr-rr
1254				f	
1255				f	
1256					
1257					
1258				f	
1259					
1260					
1261					
1262				f	
1263					
1264					
1265			pl		
1266					xrr
1267					
1268					xrr
1269					
1270			pl	f	
1271				f	
1272					
1273					
1274					
1275					
1276				f	
1277				f	
1278				f	
1279					
1280				f	
1281				f	
1282					xrr-rr
1283					xrr
1284				f	xrr
1285					xrr
1286					xrr
1287					xrr
1288				f	
1289					
1290					
1291					
1292					
1293			pl		
1294					
1295					rr-rr
1296				f	
1297				f	
1298				f	
1299					
1300					
1301				f	
1302				f	
1303					
1304					
1305					
1306					
1307				f	
1308					
1309					
